goal,target,indicator,series,seriesDescription,seriesCount,geoAreaCode,geoAreaName,timePeriodStart,value,valueType,time_detail,timeCoverage,upperBound,lowerBound,basePeriod,source,geoInfoUrl,footnotes,attributes,dimensions
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,24,Angola,2012.0,8.0800000000000001,Float,,,10.89,5.4,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: Ferrovia | LATITUDE: -12.180 | LONGITUDE: 13.340'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'FERROVIA'}
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,24,Angola,2016.0,8.2989999999999995,Float,,,8.4,8.17,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: Luanda | LATITUDE: -8.440 | LONGITUDE: 13.160'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'LUANDA'}
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,24,Angola,2016.0,8.2040000000000006,Float,,,8.5,7.87,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: Floresta | LATITUDE: -8.460 | LONGITUDE: 13.150'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'FLORESTA'}
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,24,Angola,2016.0,8.0069999999999997,Float,,,8.16,7.62,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: Porto Pesqueiro| LATITUDE: -8.470| LONGITUDE: 13.160'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'PORTOPESQUEIRO'}
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,24,Angola,2017.0,8.1620000000000008,Float,,,8.5,7,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: Luanda | LATITUDE: -8.440 | LONGITUDE: 13.160'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'LUANDA'}
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,24,Angola,2018.0,7.5670000000000002,Float,,,8.9,5.04,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: Cais de Carvão | LATITUDE: -8.460 | LONGITUDE: 13.140'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'CAISDECARVAO'}
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,24,Angola,2020.0,7.8470000000000004,Float,,,8.3,7.6,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: Cais de Carvão | LATITUDE: -8.460 | LONGITUDE: 13.140'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'CAISDECARVAO'}
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,24,Angola,2021.0,7.7560000000000002,Float,,,8.7,7,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: Cais de Carvão | LATITUDE: -8.460 | LONGITUDE: 13.140'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'CAISDECARVAO'}
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,24,Angola,2021.0,7.3869999999999996,Float,,,7.57,7.27,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: Borges| LATITUDE: -12.180 | LONGITUDE: 13.300'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'BORGES'}
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,32,Argentina,2006.0,8.0670000000000002,Float,,,8.214,7.708,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: GEF2 | LATITUDE: -40.755 | LONGITUDE: -61.452'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'GEF2'}
['14'],['14.3'],['14.3.1'],ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,1291,32,Argentina,2019.0,7.926,Float,,,7.937,7.915,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,['Mooring Name: VERIL  | LATITUDE: -38.174 | LONGITUDE: -57.423'],"{'Nature': 'C', 'Observation Status': 'A', 'Units': 'PH'}",{'Sampling Stations': 'VERIL'}
