"LOCATION","Location","WATER_SOURCE","Water source","TIME","Time","Value","Flag Codes","Flags"
"USA1","United States","FRESHWATER","Freshwater","2019","2019",10.85359,,
"USA1","United States","FRESHWATER","Freshwater","2020","2020",10.98211,,
"USA1","United States","FRESHWATER","Freshwater","2021","2021",11.1058,,
"USA1","United States","FRESHWATER","Freshwater","2022","2022",11.22586,,
"USA1","United States","FRESHWATER","Freshwater","2023","2023",11.33888,,
"USA1","United States","FRESHWATER","Freshwater","2024","2024",11.44375,,
"USA1","United States","FRESHWATER","Freshwater","2025","2025",11.53985,,
"USA1","United States","FRESHWATER","Freshwater","2026","2026",11.62718,,
"USA1","United States","FRESHWATER","Freshwater","2027","2027",11.70532,,
"USA1","United States","FRESHWATER","Freshwater","2028","2028",11.77395,,
"USA1","United States","FRESHWATER","Freshwater","2029","2029",11.83256,,
"USA1","United States","FRESHWATER","Freshwater","2030","2030",11.88013,,
"USA1","United States","FRESHWATER","Freshwater","2031","2031",11.91635,,
"USA1","United States","FRESHWATER","Freshwater","2032","2032",11.94068,,
"USA1","United States","FRESHWATER","Freshwater","2033","2033",11.95272,,
"USA1","United States","FRESHWATER","Freshwater","2034","2034",11.95204,,
"USA1","United States","FRESHWATER","Freshwater","2035","2035",11.93822,,
"USA1","United States","FRESHWATER","Freshwater","2036","2036",11.91114,,
"USA1","United States","FRESHWATER","Freshwater","2037","2037",11.87077,,
"USA1","United States","FRESHWATER","Freshwater","2038","2038",11.8295,,
"USA1","United States","FRESHWATER","Freshwater","2039","2039",11.78862,,
"USA1","United States","FRESHWATER","Freshwater","2040","2040",11.75014,,
"USA1","United States","FRESHWATER","Freshwater","2041","2041",11.71399,,
"USA1","United States","FRESHWATER","Freshwater","2042","2042",11.68015,,
"USA1","United States","FRESHWATER","Freshwater","2043","2043",11.64846,,
"USA1","United States","FRESHWATER","Freshwater","2044","2044",11.61892,,
"USA1","United States","FRESHWATER","Freshwater","2045","2045",11.59153,,
"USA1","United States","FRESHWATER","Freshwater","2046","2046",11.56622,,
"USA1","United States","FRESHWATER","Freshwater","2047","2047",11.54278,,
"USA1","United States","FRESHWATER","Freshwater","2048","2048",11.52153,,
"USA1","United States","FRESHWATER","Freshwater","2049","2049",11.50208,,
"USA1","United States","FRESHWATER","Freshwater","2050","2050",11.48483,,
"USA1","United States","FRESHWATER","Freshwater","2051","2051",11.4696,,
"USA1","United States","FRESHWATER","Freshwater","2052","2052",11.45649,,
"USA1","United States","FRESHWATER","Freshwater","2053","2053",11.44521,,
"USA1","United States","FRESHWATER","Freshwater","2054","2054",11.43608,,
"USA1","United States","FRESHWATER","Freshwater","2055","2055",11.42859,,
"USA1","United States","FRESHWATER","Freshwater","2056","2056",11.42316,,
"USA1","United States","FRESHWATER","Freshwater","2057","2057",11.41959,,
"USA1","United States","FRESHWATER","Freshwater","2058","2058",11.41759,,
"USA1","United States","FRESHWATER","Freshwater","2059","2059",11.41767,,
"USA1","United States","FRESHWATER","Freshwater","2060","2060",11.41923,,
"OE6","OECD Non-EU","OCEAN","Ocean","2019","2019",1.43375692,,
"OE6","OECD Non-EU","OCEAN","Ocean","2020","2020",1.48694867,,
