"SCENARIO","Scenario","PLASTIC_LEAKAGE_TO_OCEAN","Variable","TIME","Time","Value","Flag Codes","Flags"
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2019","2019",30.408751,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2020","2020",32.125966,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2021","2021",33.895155,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2022","2022",35.715894,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2023","2023",37.586897,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2024","2024",39.507046,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2025","2025",41.476231,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2026","2026",43.49437,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2027","2027",45.561665,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2028","2028",47.677817,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2029","2029",49.843705,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2030","2030",52.059216,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2031","2031",54.324911,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2032","2032",56.641446,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2033","2033",59.009194,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2034","2034",61.428753,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2035","2035",63.900783,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2036","2036",66.42553,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2037","2037",69.003688,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2038","2038",71.636605,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2039","2039",74.323946,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2040","2040",77.068414,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2041","2041",79.86954,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2042","2042",82.728583,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2043","2043",85.646901,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2044","2044",88.62456,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2045","2045",91.662689,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2046","2046",94.762136,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2047","2047",97.922981,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2048","2048",101.145812,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2049","2049",104.431345,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2050","2050",107.780715,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2051","2051",111.194905,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2052","2052",114.674465,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2053","2053",118.21988,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2054","2054",121.832555,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2055","2055",125.51307,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2056","2056",129.261896,,
