bleaching,ocean,year,depth,storms,humanimpact,siltation,dynamite,poison,sewage,industrial,commercial
no,atlantic,1998,6.0,no,low,never,none,none,none,none,none
no,pacific,2015,6.0,no,low,never,none,none,none,none,none
no,pacific,2012,7.0,no,none,never,none,none,low,none,none
no,pacific,2012,7.0,no,none,never,none,none,low,none,none
no,pacific,2012,7.0,no,none,never,none,none,low,none,none
no,pacific,2005,3.0,no,low,never,none,low,low,none,high
no,pacific,2005,3.0,no,low,never,none,low,low,none,high
no,pacific,2012,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2013,4.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2012,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2012,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2013,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2012,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2013,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2012,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2012,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2012,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2013,4.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2012,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2013,6.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2013,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2012,5.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2013,6.0,no,moderate,occasionally,none,none,none,none,high
no,pacific,2006,3.0,no,moderate,never,none,none,low,none,moderate
no,pacific,2006,3.0,no,moderate,never,none,none,low,none,moderate
no,pacific,2009,9.0,yes,low,occasionally,none,none,low,none,low
no,pacific,2007,6.0,yes,low,occasionally,none,none,low,none,none
no,pacific,2007,6.0,yes,low,occasionally,none,none,low,none,none
no,pacific,2008,6.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2009,8.0,yes,low,occasionally,none,none,none,none,low
no,pacific,2004,6.0,yes,none,never,none,none,none,none,none
no,pacific,2003,5.0,no,low,occasionally,none,none,low,none,none
no,pacific,2009,4.5,no,moderate,occasionally,none,none,moderate,none,none
no,pacific,2004,3.0,yes,high,occasionally,none,none,moderate,low,low
no,pacific,2004,3.0,yes,high,occasionally,none,none,moderate,low,low
no,pacific,2003,6.0,no,low,occasionally,none,none,low,none,none
no,pacific,2012,6.0,no,low,never,none,none,low,none,none
no,pacific,2012,6.0,no,low,never,none,none,low,none,none
no,pacific,2012,7.0,no,low,never,none,none,low,none,none
no,pacific,2009,4.0,no,moderate,often,moderate,low,low,none,moderate
no,pacific,2009,4.0,no,moderate,often,moderate,low,low,none,moderate
no,pacific,2010,7.0,no,low,often,none,none,low,low,low
no,pacific,2012,10.0,no,low,often,none,none,moderate,low,high
no,pacific,2012,10.0,no,low,often,none,none,moderate,low,high
no,pacific,2009,8.0,no,low,occasionally,none,none,low,none,low
no,pacific,2009,5.0,no,moderate,occasionally,none,none,none,none,low
no,pacific,2009,3.0,yes,high,often,moderate,none,high,none,moderate
no,pacific,2009,3.0,yes,high,often,moderate,none,high,none,moderate
no,pacific,2009,3.0,yes,high,often,moderate,none,high,none,moderate
no,pacific,2010,7.0,no,low,often,none,none,low,low,low
no,pacific,2009,3.0,no,low,occasionally,none,none,none,none,low
no,pacific,2009,4.0,no,low,occasionally,none,none,none,none,low
no,pacific,2009,4.0,no,low,occasionally,none,none,none,none,low
no,pacific,2009,3.0,no,low,occasionally,none,none,none,none,low
no,pacific,2007,10.0,no,moderate,occasionally,none,none,moderate,none,none
no,pacific,2012,7.0,no,low,never,none,none,low,none,none
no,pacific,2009,3.0,no,low,often,none,none,low,moderate,low
no,pacific,2009,3.0,no,low,often,none,none,low,moderate,low
no,pacific,2009,4.0,no,low,often,none,none,low,moderate,low
no,pacific,2009,4.0,no,low,often,none,none,low,moderate,low
no,pacific,2009,3.0,no,low,often,none,none,low,moderate,low
no,pacific,2009,3.0,no,low,often,none,none,low,moderate,low
no,pacific,2009,3.0,no,low,often,none,none,low,moderate,low
no,pacific,2007,10.0,no,moderate,occasionally,none,none,moderate,none,none
no,pacific,2007,10.0,no,moderate,occasionally,none,none,moderate,none,none
no,pacific,2012,6.0,no,low,never,none,none,low,none,none
no,pacific,2012,10.0,no,low,never,none,none,none,none,moderate
no,pacific,2012,10.0,no,low,never,none,none,none,none,moderate
no,pacific,2002,4.5,no,low,never,none,low,low,low,none
no,pacific,2002,2.5,no,low,never,none,low,low,low,none
no,pacific,2002,4.5,no,low,never,none,low,low,low,none
no,pacific,2003,2.5,no,low,never,none,low,low,low,none
no,pacific,2003,4.5,no,low,never,none,low,low,low,none
no,pacific,2002,2.5,no,low,never,none,low,low,low,none
no,pacific,2003,2.5,no,low,never,none,low,low,low,none
no,pacific,2003,4.5,no,low,never,none,low,low,low,none
no,pacific,2007,8.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2007,8.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2008,6.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2008,6.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2008,8.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2008,8.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2014,6.0,no,none,never,none,none,none,none,none
no,pacific,2012,5.0,yes,low,occasionally,none,none,low,none,moderate
no,pacific,2012,5.0,yes,low,never,none,none,low,none,moderate
no,pacific,2012,4.0,yes,low,never,none,none,low,none,moderate
no,pacific,2012,5.0,yes,low,never,none,none,low,none,moderate
no,pacific,2012,8.0,yes,low,never,none,none,low,none,moderate
no,pacific,2013,6.0,no,low,never,none,none,low,none,none
no,pacific,2012,4.0,yes,low,never,none,none,low,none,moderate
no,pacific,2012,5.0,yes,low,never,none,none,low,none,moderate
no,pacific,2013,6.0,no,low,never,none,none,low,none,none
no,pacific,2012,4.0,yes,low,never,none,none,low,none,moderate
no,pacific,2012,8.0,yes,low,never,none,none,low,none,moderate
no,pacific,2006,10.0,no,low,never,none,none,low,none,low
no,pacific,2006,10.0,no,low,never,none,none,low,none,low
no,pacific,2010,6.5,yes,low,occasionally,none,none,low,none,moderate
no,pacific,2012,9.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2012,5.0,yes,low,occasionally,none,none,low,none,moderate
no,pacific,2008,7.0,yes,moderate,never,none,none,none,none,none
no,pacific,2008,7.0,yes,moderate,never,none,none,none,none,none
no,pacific,2012,9.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2010,6.5,yes,low,occasionally,none,none,low,none,moderate
no,pacific,2009,8.0,yes,low,occasionally,none,none,none,none,low
no,pacific,2008,7.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2008,7.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2008,7.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2008,7.0,yes,moderate,occasionally,none,none,low,none,none
no,pacific,2007,5.0,yes,low,occasionally,none,none,low,none,none
no,pacific,2007,6.0,yes,low,occasionally,none,none,low,none,none
no,pacific,2009,8.0,no,low,occasionally,none,none,low,none,low
no,pacific,2009,4.0,no,low,occasionally,none,none,none,none,low
no,pacific,2009,8.0,no,low,occasionally,none,none,none,none,low
no,pacific,2007,5.0,no,low,always,low,low,low,low,low
no,pacific,2007,5.0,no,low,always,low,low,low,low,low
no,indian,2001,3.0,yes,moderate,never,moderate,moderate,low,none,none
no,indian,2001,10.0,yes,moderate,never,moderate,moderate,low,none,none
no,pacific,2000,3.0,no,moderate,never,moderate,low,none,none,none
no,pacific,2000,10.0,no,moderate,never,moderate,low,none,none,none
no,indian,2001,3.0,yes,moderate,never,moderate,moderate,low,none,none
no,indian,2001,10.0,yes,moderate,never,moderate,moderate,low,none,none
no,pacific,1999,3.0,yes,low,never,none,none,none,none,none
no,pacific,2002,3.0,yes,low,never,none,none,none,none,none
no,pacific,1999,3.0,yes,low,never,none,none,none,none,none
no,pacific,2003,3.5,yes,moderate,often,moderate,moderate,low,moderate,high
no,pacific,2003,5.0,yes,moderate,often,moderate,moderate,low,moderate,high
no,pacific,2003,3.5,yes,moderate,often,moderate,moderate,low,moderate,high
no,pacific,2003,5.0,yes,moderate,often,moderate,moderate,low,moderate,high
no,pacific,2003,5.0,yes,moderate,often,moderate,moderate,low,moderate,high
no,indian,2001,3.0,yes,moderate,never,low,low,moderate,none,none
no,indian,2001,10.0,yes,moderate,never,low,low,moderate,none,none
no,indian,2001,3.0,yes,moderate,never,low,low,moderate,none,none
no,indian,2001,10.0,yes,moderate,never,low,low,moderate,none,none
no,pacific,2002,6.0,yes,low,never,none,none,none,none,none
no,pacific,2000,6.0,yes,moderate,never,high,none,moderate,none,none
no,pacific,2000,6.0,yes,moderate,never,high,none,moderate,none,none
no,atlantic,1997,3.0,no,low,never,none,none,none,none,none
no,pacific,2006,3.0,no,low,occasionally,none,low,low,none,low
no,pacific,2006,10.0,no,low,occasionally,none,low,low,none,low
no,pacific,2006,3.0,no,low,occasionally,none,low,low,none,low
no,pacific,2006,10.0,no,low,occasionally,none,low,low,none,low
