list_name,itemname,material,quantity,description,latitude,longitude,altitude,radius,location,timestamp,dt,project_name,username,manual_upload,event_name,id,log_index
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","51.8670501709","-8.50031375885","54.6396331787","12.0018119812","Ballincollig - Carrigaline, Ireland","20191018201712","2019-10-18 20:17:12","","LitterMapper","0","","545133","17442"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","-34.5967216492","-58.4164047241","19.0889930725","65","Autonomous City of Buenos Aires, Autonomous City of Buenos Aires, Argentina","20191106184926","2019-11-06 18:49:26","","Ailén Ortiz (Facebook)","0","","557306","17746"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","2965","","26.4060514","-80.1128179","-25","25.6870002747","Boca Raton, Florida, United States of America","20191125132953","2019-11-25 13:29:53","","4ocean","0","","575286","18102"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","8","","45.7044181824","-121.526603699","132.474884033","65","Hood River, Oregon, United States of America","20200304165811","2020-03-04 16:58:11","","Zat_The_Rat","0","","655610","19952"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","10","","35.1293678284","-120.614044189","43.683303833","1414.65405273","Grover Beach, California, United States of America","20200725201011","2020-07-25 20:10:11","","102297817 (SciStarter)","0","","738997","22211"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","12","","35.1254692078","-120.613075256","42.0024642944","507.975891113","Grover Beach, California, United States of America","20200726191951","2020-07-26 19:19:51","","102297817 (SciStarter)","0","","741079","22246"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","37.1113243103","22.906332016","10.3536520004","65","Arcadia Regional Unit, Peloponnese, Western Greece and the Ionian, Greece","20200806085234","2020-08-06 08:52:34","","RobinH","0","","749925","22459"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","37.1113243103","22.906332016","10.3536520004","65","Arcadia Regional Unit, Peloponnese, Western Greece and the Ionian, Greece","20200806085236","2020-08-06 08:52:36","","RobinH","0","","749926","22459"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","37.1112785339","22.9063644409","12.3360548019","6.0009059906","Arcadia Regional Unit, Peloponnese, Western Greece and the Ionian, Greece","20200806092824","2020-08-06 09:28:24","","RobinH","0","","749979","22460"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.713306427002","-76.655326843262","3.4638357162476","65","Beaufort, North Carolina, United States of America","20210118211108","2021-01-18 21:11:08","","Briggs Cloutier","0","","902977","26063"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","2","","34.713562011719","-76.655136108398","0.87386703491211","5","Beaufort, North Carolina, United States of America","20210118211720","2021-01-18 21:17:20","","Briggs Cloutier","0","","903003","26065"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.713562011719","-76.655136108398","0.87386703491211","5","Beaufort, North Carolina, United States of America","20210118211721","2021-01-18 21:17:21","","Briggs Cloutier","0","","903004","26065"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.713562011719","-76.655136108398","0.87386703491211","5","Beaufort, North Carolina, United States of America","20210118211721","2021-01-18 21:17:21","","Briggs Cloutier","0","","903005","26065"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.713562011719","-76.655136108398","0.87386703491211","5","Beaufort, North Carolina, United States of America","20210118211722","2021-01-18 21:17:22","","Briggs Cloutier","0","","903006","26065"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","3","","35.110260009766","-75.974456787109","0","285.39932250977","Ocracoke, North Carolina, United States of America","20210203184412","2021-02-03 18:44:12","","Ocracoke ","0","","918120","26386"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","2","","42.030982971191","-88.317810058594","246.26679992676","65","Elgin, Illinois, United States of America","20210410175536","2021-04-10 17:55:36","","Ciara","0","","1480840","36909"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","125","","42.031059265137","-88.317840576172","245.93022155762","65","Elgin, Illinois, United States of America","20210410193054","2021-04-10 19:30:54","","Ciara","0","","1481290","36920"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","3","","35.783941119717","-78.657712395748","111.67205603514","9.5074660642424","Raleigh, North Carolina, United States of America","20210413204630","2021-04-13 20:46:30","Default","agunash","0","","1492800","37241"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","35.783941119717","-78.657712395748","111.67205603514","9.5074660642424","Raleigh, North Carolina, United States of America","20210413204630","2021-04-13 20:46:30","Default","agunash","0","","1492801","37241"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.697189703007","-76.741031735424","1.932364506647","4.7903513668563","Atlantic Beach, North Carolina, United States of America","20210430203155","2021-04-30 20:31:55","Default","102335272 (SciStarter)","0","","1546087","38760"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.697189703007","-76.741031735424","1.932364506647","4.7903513668563","Atlantic Beach, North Carolina, United States of America","20210430203155","2021-04-30 20:31:55","Default","102335272 (SciStarter)","0","","1546088","38760"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.697196368688","-76.741033789074","2.3578877067193","4.7728014991956","Atlantic Beach, North Carolina, United States of America","20210430203155","2021-04-30 20:31:55","Default","102335272 (SciStarter)","0","","1546089","38760"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.696692993378","-76.781591844105","3.8434742847458","4.8366034507312","Atlantic Beach, North Carolina, United States of America","20210430210903","2021-04-30 21:09:03","Default","102335272 (SciStarter)","0","","1546138","38762"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.696690028996","-76.781004751009","2.6356767369434","4.8461455815443","Atlantic Beach, North Carolina, United States of America","20210430210903","2021-04-30 21:09:03","Default","102335272 (SciStarter)","0","","1546142","38762"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.696683441125","-76.780986477145","2.3185644308105","4.8204258869553","Atlantic Beach, North Carolina, United States of America","20210430210903","2021-04-30 21:09:03","Default","102335272 (SciStarter)","0","","1546143","38762"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.696686974852","-76.780983895601","2.3679270977154","4.8314603790833","Atlantic Beach, North Carolina, United States of America","20210430210903","2021-04-30 21:09:03","Default","102335272 (SciStarter)","0","","1546144","38762"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.696686974852","-76.780983895601","2.3679270977154","4.8314603790833","Atlantic Beach, North Carolina, United States of America","20210430210903","2021-04-30 21:09:03","Default","102335272 (SciStarter)","0","","1546145","38762"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.696694376495","-76.78079824192","2.4120686538517","4.8117385588245","Atlantic Beach, North Carolina, United States of America","20210430210903","2021-04-30 21:09:03","Default","102335272 (SciStarter)","0","","1546146","38762"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.697194230913","-76.740975952098","2.240016380325","4.8219182755847","Atlantic Beach, North Carolina, United States of America","20210502145939","2021-05-02 14:59:39","Default","102335272 (SciStarter)","0","","1549551","38855"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.697194230913","-76.740975952098","2.240016380325","4.8219182755847","Atlantic Beach, North Carolina, United States of America","20210502145939","2021-05-02 14:59:39","Default","102335272 (SciStarter)","0","","1549552","38855"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.697130999925","-76.740864861498","1.2924326900393","4.8969001683355","Atlantic Beach, North Carolina, United States of America","20210502145939","2021-05-02 14:59:39","Default","102335272 (SciStarter)","0","","1549555","38855"
"4ocean Marine Debris Tracker","Cigarette Butts","ALL ITEMS","1","","34.697080537904","-76.741477429881","2.3109727455303","4.8222311162167","Atlantic Beach, North Carolina, United States of America","20210502145939","2021-05-02 14:59:39","Default","102335272 (SciStarter)","0","","1549564","38855"
