goal,target,indicator,country_code,country,avg_marine_acidity_ph,upperbound,lowerbound,source,sampling_stations,latitude,longitude,year
14,14.3,14.3.1,24,angola,8.08,10.89,5.4,intergovernmental oceanographic commission (ioc) of unesco,ferrovia,-12.18,13.34,2012
14,14.3,14.3.1,24,angola,8.299,8.4,8.17,intergovernmental oceanographic commission (ioc) of unesco,luanda,-8.44,13.16,2016
14,14.3,14.3.1,24,angola,8.204,8.5,7.87,intergovernmental oceanographic commission (ioc) of unesco,floresta,-8.46,13.15,2016
14,14.3,14.3.1,24,angola,8.162,8.5,7.0,intergovernmental oceanographic commission (ioc) of unesco,luanda,-8.44,13.16,2017
14,14.3,14.3.1,24,angola,7.567,8.9,5.04,intergovernmental oceanographic commission (ioc) of unesco,caisdecarvao,-8.46,13.14,2018
14,14.3,14.3.1,24,angola,7.847,8.3,7.6,intergovernmental oceanographic commission (ioc) of unesco,caisdecarvao,-8.46,13.14,2020
14,14.3,14.3.1,24,angola,7.756,8.7,7.0,intergovernmental oceanographic commission (ioc) of unesco,caisdecarvao,-8.46,13.14,2021
14,14.3,14.3.1,24,angola,7.387,7.57,7.27,intergovernmental oceanographic commission (ioc) of unesco,borges,-12.18,13.3,2021
14,14.3,14.3.1,32,argentina,8.067,8.214,7.708,intergovernmental oceanographic commission (ioc) of unesco,gef2,-40.755,-61.452,2006
14,14.3,14.3.1,32,argentina,7.926,7.937,7.915,intergovernmental oceanographic commission (ioc) of unesco,veril,-38.174,-57.423,2019
14,14.3,14.3.1,32,argentina,7.838,8.06,7.551,intergovernmental oceanographic commission (ioc) of unesco,costal_ar,-38.478,-57.423,2019
14,14.3,14.3.1,32,argentina,7.908,7.951,7.865,intergovernmental oceanographic commission (ioc) of unesco,veril,-38.174,-57.423,2020
14,14.3,14.3.1,32,argentina,7.897,7.9301,7.871,intergovernmental oceanographic commission (ioc) of unesco,veril,-38.174,-57.423,2021
14,14.3,14.3.1,32,argentina,7.851,7.905,7.789,intergovernmental oceanographic commission (ioc) of unesco,emac_mdp,-38.003,-57.485,2022
14,14.3,14.3.1,32,argentina,7.914,7.961,7.881,intergovernmental oceanographic commission (ioc) of unesco,veril,-38.174,-57.423,2022
14,14.3,14.3.1,36,australia,8.072,8.108,8.047,intergovernmental oceanographic commission (ioc) of unesco,nrskai,-35.833,136.433,2010
