region,code,year,moderate bleaching events (1-30% bleached),severe bleaching events (>30% bleached)
Australasia,AA,1980,3,0
Australasia,AA,1981,1,0
Australasia,AA,1982,0,0
Australasia,AA,1983,3,1
Australasia,AA,1984,1,0
Australasia,AA,1985,0,0
Australasia,AA,1986,2,0
Australasia,AA,1987,1,1
Australasia,AA,1988,1,1
Australasia,AA,1989,0,0
Australasia,AA,1990,0,0
Australasia,AA,1991,0,1
Australasia,AA,1992,1,0
Australasia,AA,1993,0,1
Australasia,AA,1994,1,0
Australasia,AA,1995,1,1
Australasia,AA,1996,0,0
Australasia,AA,1997,2,0
Australasia,AA,1998,1,19
Australasia,AA,1999,2,0
Australasia,AA,2000,2,2
Australasia,AA,2001,3,0
Australasia,AA,2002,1,4
Australasia,AA,2003,0,1
Australasia,AA,2004,3,0
Australasia,AA,2005,5,1
Australasia,AA,2006,3,0
Australasia,AA,2007,2,2
Australasia,AA,2008,3,2
Australasia,AA,2009,3,0
Australasia,AA,2010,3,15
Australasia,AA,2011,2,3
Australasia,AA,2012,2,1
Australasia,AA,2013,1,1
Australasia,AA,2014,4,0
Australasia,AA,2015,1,2
Australasia,AA,2016,6,21
Indian Ocean/Middle East,IOME,1980,0,0
Indian Ocean/Middle East,IOME,1981,0,0
Indian Ocean/Middle East,IOME,1982,0,0
Indian Ocean/Middle East,IOME,1983,1,3
Indian Ocean/Middle East,IOME,1984,0,0
Indian Ocean/Middle East,IOME,1985,0,0
Indian Ocean/Middle East,IOME,1986,0,0
Indian Ocean/Middle East,IOME,1987,0,4
Indian Ocean/Middle East,IOME,1988,0,0
Indian Ocean/Middle East,IOME,1989,0,0
Indian Ocean/Middle East,IOME,1990,0,0
Indian Ocean/Middle East,IOME,1991,0,0
Indian Ocean/Middle East,IOME,1992,0,0
Indian Ocean/Middle East,IOME,1993,0,0
Indian Ocean/Middle East,IOME,1994,0,0
Indian Ocean/Middle East,IOME,1995,0,0
Indian Ocean/Middle East,IOME,1996,1,1
Indian Ocean/Middle East,IOME,1997,0,0
Indian Ocean/Middle East,IOME,1998,4,17
Indian Ocean/Middle East,IOME,1999,0,0
Indian Ocean/Middle East,IOME,2000,1,0
Indian Ocean/Middle East,IOME,2001,3,0
Indian Ocean/Middle East,IOME,2002,3,3
Indian Ocean/Middle East,IOME,2003,6,1
Indian Ocean/Middle East,IOME,2004,4,2
Indian Ocean/Middle East,IOME,2005,6,5
Indian Ocean/Middle East,IOME,2006,0,0
Indian Ocean/Middle East,IOME,2007,3,1
Indian Ocean/Middle East,IOME,2008,0,0
Indian Ocean/Middle East,IOME,2009,2,0
Indian Ocean/Middle East,IOME,2010,1,13
Indian Ocean/Middle East,IOME,2011,5,0
Indian Ocean/Middle East,IOME,2012,1,0
Indian Ocean/Middle East,IOME,2013,1,0
Indian Ocean/Middle East,IOME,2014,2,0
Indian Ocean/Middle East,IOME,2015,2,4
Indian Ocean/Middle East,IOME,2016,4,15
Pacific,PA,1980,0,0
Pacific,PA,1981,0,0
Pacific,PA,1982,0,0
Pacific,PA,1983,1,5
