goal,target,indicator,country_code,country,year,source,beach_litter_in_beach_percent
14,14.1,14.1.1,2,africa,2017,center for ocean-atmospheric prediction studies (coaps),76.38
14,14.1,14.1.1,2,africa,2018,center for ocean-atmospheric prediction studies (coaps),74.84
14,14.1,14.1.1,2,africa,2019,center for ocean-atmospheric prediction studies (coaps),75.87
14,14.1,14.1.1,2,africa,2020,center for ocean-atmospheric prediction studies (coaps),76.28
14,14.1,14.1.1,2,africa,2021,center for ocean-atmospheric prediction studies (coaps),77.03
14,14.1,14.1.1,2,africa,2022,center for ocean-atmospheric prediction studies (coaps),79.11
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),59.29
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),62.23
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),61.42
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),65.1
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),62.61
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),64.33
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),57.88
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),61.1
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),65.91
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),66.31
14,14.1,14.1.1,19,americas,2017,center for ocean-atmospheric prediction studies (coaps),54.3
14,14.1,14.1.1,19,americas,2018,center for ocean-atmospheric prediction studies (coaps),56.18
14,14.1,14.1.1,19,americas,2019,center for ocean-atmospheric prediction studies (coaps),55.76
14,14.1,14.1.1,19,americas,2020,center for ocean-atmospheric prediction studies (coaps),54.03
14,14.1,14.1.1,19,americas,2021,center for ocean-atmospheric prediction studies (coaps),55.68
14,14.1,14.1.1,19,americas,2022,center for ocean-atmospheric prediction studies (coaps),65.99
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),98.44
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),97.19
14,14.1,14.1.1,24,angola,2019,center for ocean-atmospheric prediction studies (coaps),98.77
14,14.1,14.1.1,24,angola,2020,center for ocean-atmospheric prediction studies (coaps),99.32
14,14.1,14.1.1,24,angola,2021,center for ocean-atmospheric prediction studies (coaps),99.01
14,14.1,14.1.1,28,antigua and barbuda,2017,center for ocean-atmospheric prediction studies (coaps),47.04
14,14.1,14.1.1,28,antigua and barbuda,2018,center for ocean-atmospheric prediction studies (coaps),47.56
14,14.1,14.1.1,28,antigua and barbuda,2019,center for ocean-atmospheric prediction studies (coaps),42.68
14,14.1,14.1.1,28,antigua and barbuda,2020,center for ocean-atmospheric prediction studies (coaps),34.7
14,14.1,14.1.1,28,antigua and barbuda,2021,center for ocean-atmospheric prediction studies (coaps),35.61
14,14.1,14.1.1,32,argentina,2017,center for ocean-atmospheric prediction studies (coaps),21.55
14,14.1,14.1.1,32,argentina,2018,center for ocean-atmospheric prediction studies (coaps),22.29
14,14.1,14.1.1,32,argentina,2019,center for ocean-atmospheric prediction studies (coaps),23.32
14,14.1,14.1.1,32,argentina,2020,center for ocean-atmospheric prediction studies (coaps),27.16
14,14.1,14.1.1,32,argentina,2021,center for ocean-atmospheric prediction studies (coaps),28.65
14,14.1,14.1.1,142,asia,2017,center for ocean-atmospheric prediction studies (coaps),73.35
14,14.1,14.1.1,142,asia,2018,center for ocean-atmospheric prediction studies (coaps),75.75
14,14.1,14.1.1,142,asia,2019,center for ocean-atmospheric prediction studies (coaps),77.11
14,14.1,14.1.1,142,asia,2020,center for ocean-atmospheric prediction studies (coaps),76.78
14,14.1,14.1.1,142,asia,2021,center for ocean-atmospheric prediction studies (coaps),74.49
14,14.1,14.1.1,142,asia,2022,center for ocean-atmospheric prediction studies (coaps),68.82
14,14.1,14.1.1,36,australia,2017,center for ocean-atmospheric prediction studies (coaps),65.49
14,14.1,14.1.1,36,australia,2018,center for ocean-atmospheric prediction studies (coaps),62.02
14,14.1,14.1.1,36,australia,2019,center for ocean-atmospheric prediction studies (coaps),69.97
14,14.1,14.1.1,36,australia,2020,center for ocean-atmospheric prediction studies (coaps),66.61
14,14.1,14.1.1,36,australia,2021,center for ocean-atmospheric prediction studies (coaps),62.78
14,14.1,14.1.1,53,australia and new zealand,2017,center for ocean-atmospheric prediction studies (coaps),64.22
14,14.1,14.1.1,53,australia and new zealand,2018,center for ocean-atmospheric prediction studies (coaps),60.77
14,14.1,14.1.1,53,australia and new zealand,2019,center for ocean-atmospheric prediction studies (coaps),68.44
14,14.1,14.1.1,53,australia and new zealand,2020,center for ocean-atmospheric prediction studies (coaps),65.1
14,14.1,14.1.1,53,australia and new zealand,2021,center for ocean-atmospheric prediction studies (coaps),61.28
14,14.1,14.1.1,53,australia and new zealand,2022,center for ocean-atmospheric prediction studies (coaps),55.78
14,14.1,14.1.1,44,bahamas,2017,center for ocean-atmospheric prediction studies (coaps),18.55
14,14.1,14.1.1,44,bahamas,2018,center for ocean-atmospheric prediction studies (coaps),15.78
14,14.1,14.1.1,44,bahamas,2019,center for ocean-atmospheric prediction studies (coaps),14.13
14,14.1,14.1.1,44,bahamas,2020,center for ocean-atmospheric prediction studies (coaps),12.2
14,14.1,14.1.1,44,bahamas,2021,center for ocean-atmospheric prediction studies (coaps),11.19
14,14.1,14.1.1,48,bahrain,2017,center for ocean-atmospheric prediction studies (coaps),98.44
14,14.1,14.1.1,48,bahrain,2018,center for ocean-atmospheric prediction studies (coaps),98.5
14,14.1,14.1.1,48,bahrain,2019,center for ocean-atmospheric prediction studies (coaps),98.08
14,14.1,14.1.1,48,bahrain,2020,center for ocean-atmospheric prediction studies (coaps),100.0
14,14.1,14.1.1,48,bahrain,2021,center for ocean-atmospheric prediction studies (coaps),97.25
14,14.1,14.1.1,50,bangladesh,2017,center for ocean-atmospheric prediction studies (coaps),69.4
14,14.1,14.1.1,50,bangladesh,2018,center for ocean-atmospheric prediction studies (coaps),68.24
14,14.1,14.1.1,50,bangladesh,2019,center for ocean-atmospheric prediction studies (coaps),69.83
14,14.1,14.1.1,50,bangladesh,2020,center for ocean-atmospheric prediction studies (coaps),70.65
14,14.1,14.1.1,50,bangladesh,2021,center for ocean-atmospheric prediction studies (coaps),74.78
14,14.1,14.1.1,52,barbados,2017,center for ocean-atmospheric prediction studies (coaps),57.89
14,14.1,14.1.1,52,barbados,2018,center for ocean-atmospheric prediction studies (coaps),54.5
14,14.1,14.1.1,52,barbados,2019,center for ocean-atmospheric prediction studies (coaps),52.43
14,14.1,14.1.1,52,barbados,2020,center for ocean-atmospheric prediction studies (coaps),50.17
14,14.1,14.1.1,52,barbados,2021,center for ocean-atmospheric prediction studies (coaps),49.83
14,14.1,14.1.1,56,belgium,2017,center for ocean-atmospheric prediction studies (coaps),85.71
14,14.1,14.1.1,56,belgium,2018,center for ocean-atmospheric prediction studies (coaps),65.52
14,14.1,14.1.1,56,belgium,2019,center for ocean-atmospheric prediction studies (coaps),53.33
14,14.1,14.1.1,56,belgium,2020,center for ocean-atmospheric prediction studies (coaps),74.19
14,14.1,14.1.1,56,belgium,2021,center for ocean-atmospheric prediction studies (coaps),68.75
14,14.1,14.1.1,84,belize,2017,center for ocean-atmospheric prediction studies (coaps),96.4
14,14.1,14.1.1,84,belize,2018,center for ocean-atmospheric prediction studies (coaps),95.58
14,14.1,14.1.1,84,belize,2019,center for ocean-atmospheric prediction studies (coaps),94.9
14,14.1,14.1.1,84,belize,2020,center for ocean-atmospheric prediction studies (coaps),96.82
14,14.1,14.1.1,84,belize,2021,center for ocean-atmospheric prediction studies (coaps),96.17
14,14.1,14.1.1,204,benin,2017,center for ocean-atmospheric prediction studies (coaps),98.07
14,14.1,14.1.1,204,benin,2018,center for ocean-atmospheric prediction studies (coaps),98.11
14,14.1,14.1.1,204,benin,2019,center for ocean-atmospheric prediction studies (coaps),99.25
14,14.1,14.1.1,204,benin,2020,center for ocean-atmospheric prediction studies (coaps),98.18
14,14.1,14.1.1,204,benin,2021,center for ocean-atmospheric prediction studies (coaps),98.07
14,14.1,14.1.1,76,brazil,2017,center for ocean-atmospheric prediction studies (coaps),67.18
14,14.1,14.1.1,76,brazil,2018,center for ocean-atmospheric prediction studies (coaps),66.32
14,14.1,14.1.1,76,brazil,2019,center for ocean-atmospheric prediction studies (coaps),68.01
14,14.1,14.1.1,76,brazil,2020,center for ocean-atmospheric prediction studies (coaps),66.03
14,14.1,14.1.1,76,brazil,2021,center for ocean-atmospheric prediction studies (coaps),64.2
14,14.1,14.1.1,96,brunei darussalam,2017,center for ocean-atmospheric prediction studies (coaps),54.48
14,14.1,14.1.1,96,brunei darussalam,2018,center for ocean-atmospheric prediction studies (coaps),59.78
14,14.1,14.1.1,96,brunei darussalam,2019,center for ocean-atmospheric prediction studies (coaps),61.64
14,14.1,14.1.1,96,brunei darussalam,2020,center for ocean-atmospheric prediction studies (coaps),53.72
14,14.1,14.1.1,96,brunei darussalam,2021,center for ocean-atmospheric prediction studies (coaps),53.94
14,14.1,14.1.1,100,bulgaria,2017,center for ocean-atmospheric prediction studies (coaps),56.25
14,14.1,14.1.1,100,bulgaria,2018,center for ocean-atmospheric prediction studies (coaps),83.23
14,14.1,14.1.1,100,bulgaria,2019,center for ocean-atmospheric prediction studies (coaps),69.94
14,14.1,14.1.1,100,bulgaria,2020,center for ocean-atmospheric prediction studies (coaps),83.15
14,14.1,14.1.1,100,bulgaria,2021,center for ocean-atmospheric prediction studies (coaps),65.93
14,14.1,14.1.1,132,cabo verde,2017,center for ocean-atmospheric prediction studies (coaps),40.03
14,14.1,14.1.1,132,cabo verde,2018,center for ocean-atmospheric prediction studies (coaps),41.59
14,14.1,14.1.1,132,cabo verde,2019,center for ocean-atmospheric prediction studies (coaps),43.86
14,14.1,14.1.1,132,cabo verde,2020,center for ocean-atmospheric prediction studies (coaps),42.14
14,14.1,14.1.1,132,cabo verde,2021,center for ocean-atmospheric prediction studies (coaps),42.62
14,14.1,14.1.1,116,cambodia,2017,center for ocean-atmospheric prediction studies (coaps),67.18
14,14.1,14.1.1,116,cambodia,2018,center for ocean-atmospheric prediction studies (coaps),73.62
14,14.1,14.1.1,116,cambodia,2019,center for ocean-atmospheric prediction studies (coaps),73.15
14,14.1,14.1.1,116,cambodia,2020,center for ocean-atmospheric prediction studies (coaps),75.33
14,14.1,14.1.1,116,cambodia,2021,center for ocean-atmospheric prediction studies (coaps),70.44
14,14.1,14.1.1,120,cameroon,2017,center for ocean-atmospheric prediction studies (coaps),99.6
14,14.1,14.1.1,120,cameroon,2018,center for ocean-atmospheric prediction studies (coaps),99.56
14,14.1,14.1.1,120,cameroon,2019,center for ocean-atmospheric prediction studies (coaps),99.72
14,14.1,14.1.1,120,cameroon,2020,center for ocean-atmospheric prediction studies (coaps),99.63
14,14.1,14.1.1,120,cameroon,2021,center for ocean-atmospheric prediction studies (coaps),99.14
14,14.1,14.1.1,124,canada,2017,center for ocean-atmospheric prediction studies (coaps),62.2
14,14.1,14.1.1,124,canada,2018,center for ocean-atmospheric prediction studies (coaps),69.85
14,14.1,14.1.1,124,canada,2019,center for ocean-atmospheric prediction studies (coaps),65.88
14,14.1,14.1.1,124,canada,2020,center for ocean-atmospheric prediction studies (coaps),60.58
14,14.1,14.1.1,124,canada,2021,center for ocean-atmospheric prediction studies (coaps),66.82
14,14.1,14.1.1,29,caribbean,2022,center for ocean-atmospheric prediction studies (coaps),57.6
14,14.1,14.1.1,13,central america,2017,center for ocean-atmospheric prediction studies (coaps),61.51
14,14.1,14.1.1,13,central america,2018,center for ocean-atmospheric prediction studies (coaps),59.62
14,14.1,14.1.1,13,central america,2019,center for ocean-atmospheric prediction studies (coaps),60.3
14,14.1,14.1.1,13,central america,2020,center for ocean-atmospheric prediction studies (coaps),63.24
14,14.1,14.1.1,13,central america,2021,center for ocean-atmospheric prediction studies (coaps),65.1
14,14.1,14.1.1,13,central america,2022,center for ocean-atmospheric prediction studies (coaps),65.78
14,14.1,14.1.1,62,central and southern asia,2022,center for ocean-atmospheric prediction studies (coaps),67.42
14,14.1,14.1.1,152,chile,2017,center for ocean-atmospheric prediction studies (coaps),24.54
14,14.1,14.1.1,152,chile,2018,center for ocean-atmospheric prediction studies (coaps),24.72
14,14.1,14.1.1,152,chile,2019,center for ocean-atmospheric prediction studies (coaps),27.04
14,14.1,14.1.1,152,chile,2020,center for ocean-atmospheric prediction studies (coaps),30.34
14,14.1,14.1.1,152,chile,2021,center for ocean-atmospheric prediction studies (coaps),34.66
14,14.1,14.1.1,156,china,2017,center for ocean-atmospheric prediction studies (coaps),77.92
14,14.1,14.1.1,156,china,2018,center for ocean-atmospheric prediction studies (coaps),81.25
14,14.1,14.1.1,156,china,2019,center for ocean-atmospheric prediction studies (coaps),84.25
14,14.1,14.1.1,156,china,2020,center for ocean-atmospheric prediction studies (coaps),84.81
14,14.1,14.1.1,156,china,2021,center for ocean-atmospheric prediction studies (coaps),78.3
14,14.1,14.1.1,344,"china, hong kong special administrative region",2017,center for ocean-atmospheric prediction studies (coaps),78.44
14,14.1,14.1.1,344,"china, hong kong special administrative region",2018,center for ocean-atmospheric prediction studies (coaps),77.28
14,14.1,14.1.1,344,"china, hong kong special administrative region",2019,center for ocean-atmospheric prediction studies (coaps),82.6
14,14.1,14.1.1,344,"china, hong kong special administrative region",2020,center for ocean-atmospheric prediction studies (coaps),81.07
14,14.1,14.1.1,344,"china, hong kong special administrative region",2021,center for ocean-atmospheric prediction studies (coaps),82.53
14,14.1,14.1.1,170,colombia,2017,center for ocean-atmospheric prediction studies (coaps),85.66
