goal,target,indicator,country_code,country,year,source,beach_litter_in_beach_value
14,14.1,14.1.1,2,africa,2017,center for ocean-atmospheric prediction studies (coaps),1729410.0
14,14.1,14.1.1,2,africa,2018,center for ocean-atmospheric prediction studies (coaps),1751853.0
14,14.1,14.1.1,2,africa,2019,center for ocean-atmospheric prediction studies (coaps),1824260.0
14,14.1,14.1.1,2,africa,2020,center for ocean-atmospheric prediction studies (coaps),1899142.0
14,14.1,14.1.1,2,africa,2021,center for ocean-atmospheric prediction studies (coaps),1943688.0
14,14.1,14.1.1,2,africa,2022,center for ocean-atmospheric prediction studies (coaps),2014633.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),2.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),3.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),5026.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),201.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),5.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),5562.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),104.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),403.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),317.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),3891.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),228.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),21.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),474.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),57.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),18.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),160.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),16481.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),18094.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),230.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),16.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),86.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),16.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),189.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),462.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),435.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),352.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),4306.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),141.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),4.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),6509.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),223.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),5120.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),5.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),5215.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),29.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),3608.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),335.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),175.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),324.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),593.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),6419.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),3.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),773.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),192.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),462.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),132.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),215.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),23.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),18500.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),20157.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),23.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),6858.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),268.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),145.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),108.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),1128.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),1.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),156.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),533.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),391.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),185.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),3601.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),402.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),0.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),16.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),6319.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),5232.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),341.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),30.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),3575.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),218.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),596.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),491.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),203.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),1011.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),311.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),266.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),30.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),125.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),7382.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),19828.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),65.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),7686.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),340.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),227.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),44.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),1341.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),105.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),454.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),597.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),6.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),233.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),16.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),3914.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),499.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),5682.0
14,14.1,14.1.1,8,albania,2022,center for ocean-atmospheric prediction studies (coaps),11.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),45545.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),533.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),26455.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),1308.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),30264.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),877.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),862.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),6136.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),3.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),18045.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),2.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),199.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),22.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),744.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),545.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),153459.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),21775.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),233.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),355.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),29356.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),144421.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),548.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),516.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),722.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),40.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),1.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),3.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),2602.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),1036.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),1429.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),737.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),39.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),11967.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),34913.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),20773.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),14.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),731.0
