goal,target,indicator,country_code,country,year,source,beach_litter_in_ocean_percent
14,14.1,14.1.1,2,africa,2017,center for ocean-atmospheric prediction studies (coaps),23.62
14,14.1,14.1.1,2,africa,2018,center for ocean-atmospheric prediction studies (coaps),25.16
14,14.1,14.1.1,2,africa,2019,center for ocean-atmospheric prediction studies (coaps),24.13
14,14.1,14.1.1,2,africa,2020,center for ocean-atmospheric prediction studies (coaps),23.71
14,14.1,14.1.1,2,africa,2021,center for ocean-atmospheric prediction studies (coaps),22.96
14,14.1,14.1.1,2,africa,2022,center for ocean-atmospheric prediction studies (coaps),20.89
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),40.71
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),37.77
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),38.58
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),34.9
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),37.39
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),35.67
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),42.12
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),38.9
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),34.09
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),33.69
14,14.1,14.1.1,19,americas,2017,center for ocean-atmospheric prediction studies (coaps),45.65
14,14.1,14.1.1,19,americas,2018,center for ocean-atmospheric prediction studies (coaps),43.82
14,14.1,14.1.1,19,americas,2019,center for ocean-atmospheric prediction studies (coaps),44.24
14,14.1,14.1.1,19,americas,2020,center for ocean-atmospheric prediction studies (coaps),45.97
14,14.1,14.1.1,19,americas,2021,center for ocean-atmospheric prediction studies (coaps),44.32
14,14.1,14.1.1,19,americas,2022,center for ocean-atmospheric prediction studies (coaps),34.01
