goal,target,indicator,country_code,country,year,source,beach_litter_in_ocean_value
14,14.1,14.1.1,2,africa,2017,center for ocean-atmospheric prediction studies (coaps),465966.0
14,14.1,14.1.1,2,africa,2018,center for ocean-atmospheric prediction studies (coaps),544479.0
14,14.1,14.1.1,2,africa,2019,center for ocean-atmospheric prediction studies (coaps),554738.0
14,14.1,14.1.1,2,africa,2020,center for ocean-atmospheric prediction studies (coaps),546428.0
14,14.1,14.1.1,2,africa,2021,center for ocean-atmospheric prediction studies (coaps),557510.0
14,14.1,14.1.1,2,africa,2022,center for ocean-atmospheric prediction studies (coaps),532117.0
14,14.1,14.1.1,8,albania,2017,center for ocean-atmospheric prediction studies (coaps),11315.0
14,14.1,14.1.1,8,albania,2018,center for ocean-atmospheric prediction studies (coaps),10981.0
14,14.1,14.1.1,8,albania,2019,center for ocean-atmospheric prediction studies (coaps),11621.0
14,14.1,14.1.1,8,albania,2020,center for ocean-atmospheric prediction studies (coaps),10807.0
14,14.1,14.1.1,8,albania,2021,center for ocean-atmospheric prediction studies (coaps),11841.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),85098.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),105106.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),100559.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),90590.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),91575.0
14,14.1,14.1.1,19,americas,2017,center for ocean-atmospheric prediction studies (coaps),658847.0
14,14.1,14.1.1,19,americas,2018,center for ocean-atmospheric prediction studies (coaps),688172.0
14,14.1,14.1.1,19,americas,2019,center for ocean-atmospheric prediction studies (coaps),687353.0
14,14.1,14.1.1,19,americas,2020,center for ocean-atmospheric prediction studies (coaps),737941.0
14,14.1,14.1.1,19,americas,2021,center for ocean-atmospheric prediction studies (coaps),750856.0
14,14.1,14.1.1,19,americas,2022,center for ocean-atmospheric prediction studies (coaps),793313.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),772.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),1451.0
